,label,text
1728,0,I went to project centre
3076,0,Take us out shopping and Mark will distract Isaiah.=D
3593,0,I anything lor...
385,1,"Double mins and txts 4 6months FREE Bluetooth on Orange. Available on Sony, Nokia Motorola phones. Call MobileUpd8 on 08000839402 or call2optout/N9DX"
3975,0,Roger that. We‘re probably going to rem in about 20
3841,0,HEY MATE! HOWS U HONEY?DID U AVE GOOD HOLIDAY? GIMMI DE GOSS!x
1041,0,Today am going to college so am not able to atten the class.
4355,1,important information 4 orange user 0789xxxxxxx. today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!
4183,1,"Urgent! Please call 0906346330. Your ABTA complimentary 4* Spanish Holiday or £10,000 cash await collection SAE T&Cs BOX 47 PO19 2EZ 150ppm 18+"
2081,0,Where is it. Is there any opening for mca.
5483,0,So li hai... Me bored now da lecturer repeating last weeks stuff waste time... 
1339,0,Aight sorry I take ten years to shower. What's the plan?
2099,0,"No dice, art class 6 thru 9 :( thanks though. Any idea what time I should come tomorrow?"
5325,0,"Gal n boy walking in d park. gal-can i hold ur hand? boy-y? do u think i would run away? gal-no, jst wana c how it feels walking in heaven with an prince..GN:-)"
4363,0,"I can't right this second, gotta hit people up first"
4970,0,I will cme i want to go to hos 2morow. After that i wil cme. This what i got from her dear what to do. She didnt say any time
194,0,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.
343,0,Where u been hiding stranger?
1633,0,Hello my little party animal! I just thought I'd buzz you as you were with your friends ...*grins*... Reminding you were loved and send a naughty adoring kiss
5079,1,Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705.
4769,0,I'm not sure if its still available though
1650,0,ITS A LAPTOP TAKE IT WITH YOU.
2207,1,"URGENT! Your mobile No 07xxxxxxxxx won a £2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP! BOX97N7QP, 150PPM"
2087,0,Dude how do you like the buff wind.
1004,0,&lt;#&gt;  am I think? Should say on syllabus
1345,0,Were somewhere on Fredericksburg
771,0,Not getting anywhere with this damn job hunting over here!
2340,0,Cheers for the message Zogtorius. Ive been staring at my phone for an age deciding whether to text or not.
4348,1,U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597
1511,0,"Pete,is this your phone still? Its Jenny from college and Leanne.what are you up to now?:)"
2206,0,"Haha, my legs and neck are killing me and my amigos are hoping to end the night with a burn, think I could swing by in like an hour?"
3213,0,We got a divorce. Lol. She.s here
2854,0,I doubt you could handle 5 times per night in any case...
2748,0,Ya had just now.onion roast.
3907,0,Went fast asleep dear.take care.
5354,0,Aiyo cos i sms ü then ü neva reply so i wait 4 ü to reply lar. I tot ü havent finish ur lab wat.
1556,0,Ok i found dis pierre cardin one which looks normal costs 20 its on sale.
2888,0,K I'll take care of it
3230,1,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send COLLECT to 83600 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1
149,0,K..i deleted my contact that why?
3065,0,Ok. How many should i buy.
4622,0,"Received, understood n acted upon!"
1218,0,"Damn, can you make it tonight or do you want to just wait til tomorrow"
4005,0,Well there's a pattern emerging of my friends telling me to drive up and come smoke with them and then telling me that I'm a weed fiend/make them smoke too much/impede their doing other things so you see how I'm hesitant
2383,0,I will reach before ten morning
1751,0,Got it..mail panren paru..
313,0,He says he'll give me a call when his friend's got the money but that he's definitely buying before the end of the week
5423,0,"Sorry, I'll call later"
2980,1,"Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth or DVD! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/4QF2"
1963,1,it to 80488. Your 500 free text messages are valid until 31 December 2005.
4315,0,Is ur changes 2 da report big? Cos i've already made changes 2 da previous report.
5010,0,"My mobile number.pls sms ur mail id.convey regards to achan,amma.Rakhesh.Qatar"
4178,0,Ok lor then we go tog lor...
2770,1,Burger King - Wanna play footy at a top stadium? Get 2 Burger King before 1st Sept and go Large or Super with Coca-Cola and walk out a winner
3830,0,"Sure, I'll see if I can come by in a bit"
29,0,Ahhh. Work. I vaguely remember that! What does it feel like? Lol
2691,1,sports fans - get the latest sports news str* 2 ur mobile 1 wk FREE PLUS a FREE TONE Txt SPORT ON to 8007 www.getzed.co.uk 0870141701216+ norm 4txt/120p 
5002,0,"Nope. Since ayo travelled, he has forgotten his guy"
1706,0,Yun ah.now ü wkg where?btw if ü go nus sc. Ü wana specialise in wad?
1153,0,Ok i go change also...
830,0,Thanks for yesterday sir. You have been wonderful. Hope you enjoyed the burial. MojiBiola
3855,0,oh ya... Got hip hop open. Haha i was thinking can go for jazz then zoom to cine... Actually tonight i'm free leh... And there's a kb lesson tonight
1449,1,As a registered optin subscriber ur draw 4 £100 gift voucher will be entered on receipt of a correct ans to 80062 Whats No1 in the BBC charts
4481,0,"Y cant u try new invention to fly..i'm not joking.,"
1097,1,Dear Subscriber ur draw 4 £100 gift voucher will b entered on receipt of a correct ans. When was Elvis Presleys Birthday? TXT answer to 80062
4581,0,Hi ....My engagement has been fixd on  &lt;#&gt; th of next month. I know its really shocking bt....hmm njan vilikkam....t ws al of a sudn;-(.
4784,0,"Especially since i talk about boston all up in my personal statement, lol! I woulda changed that if i had realized it said nyc! It says boston now."
1703,0,I have lost 10 kilos as of today!
889,0,You unbelievable faglord
1911,0,Becoz its  &lt;#&gt;  jan whn al the post ofice is in holiday so she cn go fr the post ofice...got it duffer
4689,0,Hmmm.but you should give it on one day..
1969,0,2 laptop... I noe infra but too slow lar... I wan fast one
3842,0,Howz pain.it will come down today.do as i said ystrday.ice and medicine.
3270,0,Raviyog Peripherals bhayandar east
2161,0,No. Its not specialisation. Can work but its slave labor. Will look for it this month sha cos no shakara 4 beggar.
3403,0,"'An Amazing Quote'' - ""Sometimes in life its difficult to decide whats wrong!! a lie that brings a smile or the truth that brings a tear...."""
